word_or_term,short_definition,long_definition,example,reference
Logic Mapping (Game Design),Logic mapping is a game design tool applicable in a design situation dealing with complex issues that require systemic design or redesign.,"Logic mapping reveals the common threads running through audience experiences. It helps to identify commonalities around issues and motivations, shared between different groups. It aids decision making by revealing the most impactful area where action can be focused.

The Logic Mapping process evolved out of research into the application of positive psychology for the design of <serious games>.",,"Logic Mapping — Game Design for Complex Problems
https://medium.com/@driedfrog/logic-mapping-is-a-game-design-tool-dbc4f10a0a1e

Making it easier to buy and sell...
https://www.digital.govt.nz/blog/making-it-easier-to-sell-and-buy-a-property-exploring-the-notice-of-sale-process/"
Kanban,"Kanban is a basic workflow that allows people to pull work into their work in progress, when they are ready to take it on.","Kanban was originally developed for Toyota's manufacturing arm and would resupply  products based on customer demands. Over the years this has been repurposed to use with a variety of different teams who want to be able to manage their work in progress with the ability to pull work into their workflow when they need it.

Kanban allows organisations and teams to start with their existing workflows and drive a change on how they deliver work. It creates transparency of the work in progress and allows teams to be able to stop starting and start finishing work.

Kanban is another framework utilitised by Agile.",,"https://en.wikipedia.org/wiki/Kanban

https://www.agilealliance.org/glossary/kanban/"
Minimum Viable Product (MVP),A product with just enough features for you to test it with users and check whether those features work (and gather meaningful feedback). ,"Multiple prototypes may be created within a <Design Discovery> or <Alpha> phase to inform and refine a product of Alpha quality (the MVP). Note that producing a product of Alpha quality differs from running an <Alpha phase>.

Proof of concepts and prototypes are usually developed and tested within a controlled environment – such as in a workshop or lab workplace – although some prototypes are tested out in the field. Pilots and MVPs, on the other hand, are usually tested in the real world.

Note: there are many sources which reference the (in)famous Dropbox video as an MVP. While the video was a clever way of communicating a concept and gauging interest, the video was not a working product, and therefore not an MVP. 
""remember DropBox’s first MVP was a video and there are many more similar examples""","""Are you looking for purely a build of an MVP (defined by GDS Service Manual as ""just enough features for you to test it with users and check whether those features work""), or a full alpha with user testing and refinement?""

""The minimum viable product is that version of a new product a team uses to collect the maximum amount of validated learning about customers with the least effort.""","Australian Digital Transformation Office
https://ausdto.github.io/service-handbook/alpha/4-finishing-alpha/4-1-defining-mvp.html

UK Government Service Manual
https://www.gov.uk/service-manual/agile-delivery/how-the-alpha-phase-works

https://states-of-change.org/stories/proof-of-concept-prototype-pilot-mvp-whats-in-a-name

Hackney Council - Creation of an MVP of the digital service for Ways into Work (see questions)
https://www.digitalmarketplace.service.gov.uk/digital-outcomes-and-specialists/opportunities/2274

Wikipedia  https://www.nesta.org.uk/blog/proof-of-concept-prototype-pilot-mvp-whats-in-a-name/"
Mixed Reality (MR),The merging of real and virtual worlds to produce new environments and visualizations where physical and digital objects co-exist and interact in real time.,"Mixed reality not only overlays, but anchors virtual objects to the real world, and allows the user to interact with the virtual objects.

Mixed reality is generally (26/10/2018) experienced via a headset such as the MS Hololens or Magic Leap.

aka hybrid reality",,Wikipedia
Pattern Language,A pattern language is a method of describing good design practices within a field of expertise. ,"The term ""pattern language"" was coined by architect Christopher Alexander and popularized by his book A Pattern Language. - https://en.wikipedia.org/wiki/Pattern_language

The notion of patterns has been adopted by IT to describe good design practices for providing computer systems.
",,Federated Services Delivery Glossary
Persona,"A representation of a key audience segment used as a design tool to create empathy with a group of real users mixing demographic information with archetypal behaviors in a believable format.

See also <Digital Identity - Persona> and <Behavioural archetypes>","Good personas are a reliable and realistic representation of audience segments for reference based on qualitative + quantitative user research - often including web analytics. They help the team avoid designing a product from a client-as-customer or us-as-customer perspective.

The challenge/weakness with personas can be that they focus on characteristics, and are often created with little insight into the behavior of the people they represent – which opens the door to assumptions by your project team. Personas include demographic details such as age, gender, occupation, education, interests, etc - so they are useful to provide insight into the characteristics of a target audience - but may not include details on behavioral patterns (compare <Behavioural Archetypes>).","""Personas help to focus decisions surrounding site components by adding a layer of real-world consideration to the conversation. They also offer a quick and inexpensive way to test and prioritize those features throughout the development process."" ","https://www.usability.gov/how-to-and-tools/methods/personas.html

Archetypes not Personas - Pivotal Labs
https://medium.com/interactive-mind/archetypes-not-personas-2e32c8306112

https://smashingideas.com/behavioral-archetypes/

https://www.huffingtonpost.com/entry/why-you-should-find-your-archetype-not-your-persona_us_59b592bfe4b0c50640cd6879
"
Product Backlog,"The Product Backlog, also known as  <Backlog> is a prioritised list of everything that is known to be needed in the product. It is the single source of requirements for any changes to be made to the product and is referenced daily by the <scrum team> to determine what they need to work on next. ",The <product owner> is responsbile in ensuring the <backlog>/<product backlog> is kept up to date and has all the right information in there for the <scrum team> use to complete a task. The content is broken up into a <story> and are prioritised for the <scrum team>. The <product backlog> is living and will be constantly changing and evolving on a daily basis and is never complete. ,,
"Product Owner
(Rangitira)",The Product Owner holds the vision for what the <scrum team> are delivering and ensuring that the maximum of value in a <sprint> is being delivered.,"The Product Owner (PO) is one of three roles within a <Scrum team>. The PO holds the vision/value for the project/product and communicates this back to the <scrum team> and makes sure that they are delivering to the vision. The PO will have a deep understanding on who will be using the the product, but they don't determine how much work the <scrum team> will do in a <sprint> or change the goals - but they will determine what the team need to do and controls the backlog for the project. A PO needs to be readily available to the <scrum team> in order for the team to deliver to the vision.",,"https://www.mountaingoatsoftware.com/agile/scrum/roles

https://www.scrumalliance.org/agile-resources/scrum-roles-demystified"
Production Technologies,"Machines that create a tangible physical product that a business can use or sell. These technologies are used in a wide range of industries.
","Examples include:
- Additive manufacturing (3d printing, cold spraying etc)
- Bio manufacturing (vaccines, detergents..)
- Self assembling components (small powerful electronics, drug delivery..)","Wikipedia (Self-assembly of nanoparticles)
""Due to the proliferation of nanoparticle synthesis techniques, the study and design of nanoparticle self-assembly has become widespread.[3] The spatial arrangements of these self-assembled nanoparticles can be potentially used to build increasingly complex structures[4] leading to a wide variety of materials that can be used for different purposes.""","Emerging Technology Landscape
https://smallbusiness.chron.com/production-technology-manufacturing-25068.html"
Proof of concept,"an implementation of a certain method or idea using specific technologies — in order to assess and demonstrate its feasibility and confirm its practical potential.

See also <Prototype> and <MVP>.","The objective of a PoC is to prove the idea and/or technology by exposing a realistic, functional implementation of a subset of functionality. It is usually small, focusing on a particular aspect of the product, and is typically not complete.",Demo of a concept and how it will work in context (users and system),https://medium.com/innovation-machine/is-it-a-prototype-or-an-mvp-well-its-a-proof-of-concept-f8df5bb8940a
Prototype,"A prototype is a way to test one part of a complicated system or product. It is an early sample/model built to test a concept or assumption or to act a a thing to be tested and learned from. 

See also <MVP> and <Proof of concept> and <Mock-up> and <Wireframe>.
","A prototype can take many forms (paper, powerpoint, cardboard and bluetack), and be very low, to very high fidelity. 

A model of your idea. An early model can be very simple to test underlying principles; when it comes to the later stage of the design process, a more accurate model is required to refine details of form and function.

What is it useful for?
Physical prototypes help iron out any unanticipated problems with your creative ideas. Prototypes give you insight into how your design will be used, before you create a finished version.","Nesta table of low-hi fidelity prototyping. 

""Physical prototypes are also particularly effective in communicating design ideas to diverse groups of stakeholders."" - UK Design Council",https://www.unhcr.org/innovation/what-is-prototyping-anyway/ https://www.usability.gov/how-to-and-tools/methods/prototyping.html https://www.interaction-design.org/literature/article/design-thinking-get-started-with-prototyping  https://www.invisionapp.com/design-defined/prototype/
Quantum Computing,"Computers that use ‘Qubits’ as opposed to binary processing, resulting in a leap in data generation and processing power
","Computers which work with information which is represented in more than two states. Information is encoded as quantum bits, or qubits, which can exist in superposition. Qubits represent atoms, ions, photons or electrons and their respective control devices that are working together to act as computer memory and a processor.",,Emerging Technology Landscape
"Retrospective
(Titiro whakamuri)","A session where an Agile team reflects on performance to date, and creates a plan for improvements to be made within the next iteration or <Sprint>.","The <scrum team> meets regularly, usually after the end of each <sprint>. This time is used to reflect on the most what the <sprint team> determine were the most significant events/problems that occured during the <sprint>. They unpack the events/problems that occurred and work together to make and take decisions/experiments to either resolve the issue or take steps to see if they can improve on the issue.

The retrospective is facilitated generally by the <scrum master>. There are several different approaches for running a retrospective and these sessions can also be tailored to themes that may have come up throughout the <sprint>. The retrospective meeting can typically run from one to four hours. With the meeting being facilitated it gives the opportuity for everyone on the <sprint team> to have a voice and be able to speak up.",,https://www.agilealliance.org/glossary/heartbeatretro/#q=~(infinite~true~filters~(postType~(~'page~'post~'aa_book~'aa_event_session~'aa_experience_report~'aa_glossary~'aa_research_paper~'aa_video~'aa_podcast)~tags~(~'retrospective))~searchTerm~'~sort~false~sortDirection~'asc~page~1)
Robotics,"The design, construction, operation, and use of robots, as well as computer systems for their control, sensory feedback, and information processing.
","The development of machines that can substitute for humans and replicate human actions. Robots can be used in many situations and for lots of purposes, but have to date most commonly been used in dangerous environments (including bomb detection and deactivation), manufacturing processes, or where humans cannot survive. More recently, machine learning and artificial intelligence are pushing the boundaries of what robots can do - self-driving cars, robot vacuum cleaners, and machines which provide care for hospital patients will all become commonplace in our lifetimes.","VUW Engineering:
""Advances in machine learning and artificial intelligence are pushing the boundaries of what robots can do. What was once ‘the future’—self-driving cars, robots that clean your room or provide care for hospital patients—is becoming real and even commonplace in our lifetimes.""",Emerging Tech Landscape
Scoping,The initial filtering phase in the Service Innovation Operational Workflow Model where a possible Lab project or interaction is assessed.,"This phase works through framing and scoping to explore and seek insights about the user experience, including the eco-system which they have to navigate. It helps us to define the problem space, our approach, resources required, customer and SME engagement etc. Depending on complexity and previous knowledge this phase could take 1 - 4 weeks.","""The TEC led Entering Tertiary life event ran over four weeks.""","Service Innovation Lab - Operational Workflow Model
https://docs.google.com/document/d/1vxH0hOLGa9SQGH7xIQnODQXUIqKl7TDa0svCCBAEDAM/edit?usp=sharing

Service Innovation Lab – Our Services
https://docs.google.com/document/d/1z9UM52fDCtXFFVnwjgCjwxtgynrC-iFut7aBrhFSVqg/edit?usp=sharing"
Scoping - Assessment Scoping,The first stage of a two part <Scoping> phase in which an asessment is made as to whether the project should be taken on by the Lab.,"An assessment about whether the Lab should proceed with the project based on considerations such as whether the Lab is well positioned to add value, and whether the team/agency/interested party are ready to engage and commit with the Lab and its processes. The output from this stage is a (rapid) decision about whether the project will become part of the work-programme, and what the next step (after Project Scoping which always follows immediately) should be (e.g. Research Discovery or Alpha). This decision is made based by the Lab leadership team based on a one-page document.",,"Service Innovation Lab - Operational Workflow Model
https://docs.google.com/document/d/1vxH0hOLGa9SQGH7xIQnODQXUIqKl7TDa0svCCBAEDAM/edit?usp=sharing"
Scoping - Project Scoping,The second stage of a two part <Scoping> phase which involves a deeper dive into the potential of the project. This is the first stage at which a project is considered part of the work-programme.,"This stage defines the project scope in more detail, including key areas of focus, resources and people required, and the commitment from all parties required for completion. This is captured in a project scope document.",,"Service Innovation Lab - Operational Workflow Model
https://docs.google.com/document/d/1vxH0hOLGa9SQGH7xIQnODQXUIqKl7TDa0svCCBAEDAM/edit?usp=sharing"
Scrum,Scrum is a simple framework that enables teams to collaborate effectively on solutions to complex problems.,"Scrum is a framework (with principles and practices) that helps teams to work through complex adaptive problems, by breaking them down into small features that are be delivered in small managable pieces in short timeframes or <sprint>'s. This approach allows for fast feedback, and the opportunity to review as a team how they work together and identify areas they need to improve. By the end of the sprint the team should be delivering features or products of the highest value and features or products that do 'just enough' to get the job done.

the <scrum team> self organises on a daily basis with a <stand-up>, there are regular <backlog refinement> sessions, <sprint planning>, <retrospectives> to allow for transparency and support to remove anything stopping them from completing a feature or <story>.

It's work noting that scrum is one of several agile frameworks.",,"https://www.scrum.org/resources/what-is-scrum

https://www.scrumalliance.org

https://www.agilealliance.org/glossary/scrum/"
Scrumban,"Scrumban uses the prescriptive nature of Scrum allowing the team to be agile and the process of improvement from Kanban allowing the <sprint team> to continually improve and pull work as it's needed from a prioritised backlog, but limiting their work in progress","Scrumban uses the best parts of Scrum and Kanban allowing a team to deliver their projects. It uses the prescriptive nature of Scrum allowing the <sprint team> to be agile and the process of improvement from Kanban allowing the team to continually improve and pull work as it's needed from a prioritised backlog, but limiting their work in progress. The approach allows <sprint teams> to look at things in a <lean> way, organised around teams and allows for timeboxing where required.",,"https://www.agilealliance.org/what-is-scrumban/

https://en.wikipedia.org/wiki/Scrumban"
"Scrum Master
(Toa Kakari)",The Scrum Master's role is to protect the team from distractions and helping them remove any 'blocks' they might have to achieving the goal of the <sprint>.,"The Scrum Master is not a project manager. The role of the Scrum Master is one of three within a <Scrum team>. The Scrum Master's role is to protect the team from distractions and helping them remove any 'blocks' they might have to achieving the goal of the <sprint>. The Scrum Master will also work closely with the team to ensure the <Scrum> is being applied correctly. 


The difference between the role of project manager and scrum master is that the scrum master allows the team to self organise and come to their own decisions and supports the <product owner> with the handling of reports and budgets. The project manager retains command and control over the team and handles all the reporting and budgeting associated with a project.",,https://www.agilealliance.org/glossary/scrum-master
Scrum team,The core team that will deliver the project or product that is being worked on.,"The scrum team is one of three roles within the scrum. They are a a cross functional team who are self organising and have been formed to delivier a project. There are a range of different disciplines that might be involved, such as: <product owner>, <scrum master>, designers (UX / UI), developers, testers, business analysts. Some of these team members will be part of the <scrum> for the duration of the project, others will come and go as they are required.",,
Serious Games,Games that are designed for a primary purpose other than pure entertainment,,,Wikipedia
Service Innovation Lab Work Programme,"The programme of work developed by the <Service Innovation Reference Group (SIRG)>, and committed to by the Service Innovation Lab. ","The programme is focused on supporting the government priorities: building quality public services, improving access to core services, child poverty, homelessness, supporting families and sustainable economic development.",,"Service Innovation Work Programme 2018 2019 with detail
https://drive.google.com/open?id=1fLO2VbHkHccF4A1ixoTsRkNBgF8hzSFU"
Service Innovation Operational Workflow Model,The process followed by the Service Innovation Lab to deliver the <Service Innovation Lab Work Programme>.,"The workflow model follows four main stages: <Scoping>, <Discovery>, <Alpha>, <Beta>.",,"Service Innovation Lab - Operational Workflow Model
https://docs.google.com/document/d/1vxH0hOLGa9SQGH7xIQnODQXUIqKl7TDa0svCCBAEDAM/edit?usp=sharing"
Service Innovation Reference Group (SIRG),Provides support to <SIWG> and develops + maintains the detail of the work programme and initiatives. ,"Established in 2015, this group comprises some of the members of the old <FSD> Working Group as well as some new members.",,"Introducing Federated Service Delivery
https://www.digital.govt.nz/blog/introducing-federated-service-delivery/"
Service Innovation Working Group (SIWG),"Provide governance to the Service Innovation (previously ""Result 10"") programme of work. 

aka (SWIG) via typos and in common verbal usage so it can be distinguished from SIRG","Replaced the <DSC> in 2015. Membership was expanded to include Ministry of Education, Ministry of Health, Justice, ACC and (more recently) Statistics NZ, NZTA, Department of Conservation and New Zealand Customs Service withdrew.
","""A proposal for seed funding for the first phase of implementation has been approved by SIWG, and is the best opportunity to demonstrate the potential of the FSD model in a life event initiative in the near term.""",
Sizing,See <Estimation>,See <Estimation>,,
Spatial Computing,"The practice of using physical space to send input to and receive output from a computer.

","Spatial computing encompasses everything needed to let people move around in a digital 3D world — software and technology associated with artificial intelligence, including machine learning and natural language processing; computer vision; augmented reality; virtual reality; mixed reality; and all other apps that support the creation and maintenance of a digital 3D world.","Emerging Tech Landscape:
""the practice of using physical space to send input to and receive output from a computer""

""Our thesis is that for the next 24 months the first places you’ll see successful deployments of Spatial Computing are mostly gaming or enterprise uses, like surgery, logistics, mining, architecture, and car design, training, and many more.""","https://infiniteretina.com/a-new-definition-of-spatial-computing-the-fourth-paradigm-2/

https://venturebeat.com/2019/03/04/infinite-retina-will-make-apps-and-experiences-for-spatial-computing/"
Sprint,"A sprint (or iteration) is the basic unit of development in Scrum (one form of Agile). Sprints are generally fixed in duration for the length of a project, and are typically 1-2 weeks, but can be longer.
","A Sprint typically starts with sprint planning that defines a sprint backlog (identifying the work for the sprint) and a sprint goal. Each sprint ends with a sprint review/showcase to show progress to stakeholders, and a sprint <Retrospective>.

Scrum places a real emphasis on having a working product (or new set of features) at the end of the sprint. In the case of software, this is likely to mean that software has been fully integrated, tested and documented, and is potentially shippable.",,Wikipedia
Sprint Backlog,The sprint backlog is the subset of <product backlog> that the <sprint team> targets to deliver during a <sprint> to acheive the sprint goal and the feature /product they are working towards to deliver,"The sprint backlog is the subset of <product backlog> that the <sprint team> targets to deliver during a <sprint> to acheive the sprint goal and the feature /product they are working towards to deliver. The sprint backlog is agreed by the <sprint team> at <sprint planning>. 


The sprint backlog is then represented on a digital or physical board to create visibility and transparency of what the team are working on. The items in the backlog are what the <sprint team> focuses on for that <sprint> and all work should be represented there. If new work is identified as part of the <sprint>, the <sprint team> have a discussion on the requirements and agree whether it can be bought into the <sprint> and agree what can drop out of the <sprint>.  ",,"https://www.agilealliance.org/glossary/sprint-backlog

https://www.scrum.org/resources/what-is-a-sprint-backlog

https://www.mountaingoatsoftware.com/agile/scrum/scrum-tools/sprint-backlog"
"Sprint Board
(Papa Kōrero)",The sprint board tool that <sprint teams> use to make their <sprint backlog> items visible. This is used in conjunction with the <daily stand-up> that helps team remain focused on the work at hand.,"The sprint board tool that <sprint teams> use to make their <sprint backlog> items visible. This is used in conjunction with the <daily stand-up> that helps team remain focused on the work at hand.

In it's basic form it creates a workflow that gives the <sprint team> the ability to pull new work into their workflow. Generally this is made up of the following columns which the <sprint team> can pull a story into.

Backlog (the work that needs to be done)
Doing (the work that is currently in progress)
Blocked (work can't be completed due to something stopping this)
Review (ready for the product owner to review or other members of the team)
Done (work is approved and completed)",,
Sprint Planning,Sprint planning is an event held on the first day of the new <sprint>. During this time the <sprint team> reviews and agrees the <product backlog> items they will work on during that <sprint>.,"Sprint planning is an event held on the first day of the new <sprint>. During this time the <sprint team> reviews and agrees the <product backlog> items they will work on during that <sprint>. The <sprint team> talks through the approach to delivering these backlog items and what the goal of the <sprint> will be. Sprint planning is attended by: 
 - the <product owner> takes the team through the items for the upcoming sprint, 
 - the <sprint team> review the items, ask questions and determine how many items they can bring into the <sprint>
 - the  <scrum master> facilitates the session",,"https://www.agilealliance.org/glossary/sprint-planning

https://www.scrum.org/resources/what-is-sprint-planning"
Story Points,See <Estimation>,See <Estimation>,,
Symbiotic Applications,"Applications focused on the convergence of human augmentation with the increasing intelligence and awareness of artifacts, leading towards a symbiosis of humans and machines.
","Examples include:
- Wearable devices
- Brain-computer interfaces
- Smart prosthetics","https://www.ieee.org
""Symbiotic Autonomous Systems are poised to have a revolutionary impact on society over the coming years""

Professor Manuela Veloso:
""a future in which humans and intelligent systems are inseparable, bound together in a continual exchange of information and goals that she calls “symbiotic autonomy.”","https://www.crunchbase.com/organization/ieee-symbiotic-autonomous-systems#section-overview

https://www.theverge.com/a/verge-2021/humanity-and-ai-will-be-inseparable"
Symposium,a fancy academic conference (which sometimes includes a feast and a sacrifice to greek gods),Symposiums are generally smaller than conferences - and less hands-on than a workshop.,,
System,A set of connected items or devices (i.e. computer equipment and programs) that operate together for a particular purpose,"A set of detailed methods, procedures and routines created to carry out a specific activity, perform a duty, or solve a problem. An organized, purposeful structure that consists of interrelated and interdependent elements.",“An improved health system would benefit all New Zealanders”.,Business Dictionary
"User
(Kaiwhakamahi)","A user is a person or thing that uses something such as a place, facility, product, or machine.

The Entity (Individual, Business, System or Device) participating in an online transaction.","An entity (Individual, business, system or device) that has authority to use an application, equipment, facility, process, or system, or one who consumes or employs a good or service to obtain a benefit or to solve a problem, and who may or may not be the actual purchaser of the item.
 
 See ‘Entity’, ‘Identity’, ‘Business’, ‘System’ and ‘Device’.","“The user logs on to their banking website before accessing their bank account”.

""Your users have multiple online personas — can they all log in to your site?""","Business Dictionary, Collins Dictionary"
User Story,"User stories are short, simple descriptions of a feature told (usually) from the perspective of the person who desires the new feature/item - generally at user or customer of the the work you are delivering. ","User stories are short, simple descriptions of a feature told (usually) from the perspective of the person who desires the new feature/item - generally at user or customer of the the work you are delivering. They are generally written in the voice of the customer and will include acceptance criteria required to deliver that story. User stories usually follow a template: As a < type of user >, I want < some goal > so that < some reason >. A story is written for a small piece of work that can be completed independently from any of the other stories in the <sprint backlog> or <product backlog>. Each story has it's own 'card' that is represented on the <sprint board>.

Acceptance Criteria is additional information that provides the <sprint team> with more detail about how benefits will be delivered as part of this work being done and something for the <product owner> to check against when that story has been worked on and that work is ready to be reviewed. Stories are sometimes broken down further into tasks e.g. the steps required to complete the story.

Anyone on the <sprint team> can write the stories, they are generally reviewed and prioritised by the <product owner>. The user stories relate directly back to the <epic>'s that the <sprint team> are delivering for.


","Epic: 
As a user, I can backup my entire hard drive.


User stories:
As a power user, I can specify files or folders to backup based on file size, date created and date modified.

As a user, I can indicate folders not to backup so that my backup drive isn't filled up with things I don't need saved.","https://www.mountaingoatsoftware.com/agile/user-stories

https://en.wikipedia.org/wiki/User_story

https://www.boost.co.nz/blog/2018/06/user-stories-in-scrum"
Virtual reality (VR) ,"An experience which immerses users in a fully artificial digital environment.
Primary via a headset",,,Wikipedia
Workshop,Working as a collective on task development within a timebox,"Typically involves activites to help generate outputs and outcomes that will further the work. Roles required - participants, facilitator, documentor. Workshops may require independant parties to facilitate in-order to progess or not bias the work being done. Different to meetings which are centered around communication of ideas not developing them. Meetings are informative and invovle gathering evidence to inform or make decisions",,https://www.linkedin.com/pulse/meetings-vs-workshops-paul-nunesdea/   http://www.evenues.com/event-planning-guide/types-of-meetings-and-events
